ID,S,D,H
1,26,0.1378763592,2.4056017807
2,30,0.0857163122,2.7549474778
3,39,0.1164865957,2.6087625002
4,41,0.0888044733,2.8475034983
5,32,0.0927249288,2.6624349584
6,7,0.9731560343,0.0958904529
7,19,0.12511743,2.3021956401
8,31,0.0911734044,2.6413020442
9,18,0.1425453496,2.2559146461
10,31,0.0888922962,2.6595794243
11,34,0.1166075508,2.6216255461
12,22,0.0914375506,2.6304966351
13,24,0.1922480442,1.946407787
14,20,0.1589147683,2.0123124069
15,20,0.1896769265,1.9595585964
16,16,0.2716607571,1.4906660568
17,18,0.1237855712,2.2475326695
18,34,0.0688367788,2.9453467088
19,30,0.1207142414,2.6321194774
20,23,0.1360903645,2.3450716655
21,38,0.2096793429,2.0581366465
22,29,0.1614358368,2.2330168583
23,27,0.0727964051,2.7841376565
24,22,0.0804935902,2.6818461483
25,31,0.1453150109,2.143675793
26,22,0.1528359587,2.1684183671
27,31,0.2240407496,1.9076129936
28,24,0.1888001291,1.9946054159
29,28,0.0940388279,2.6866298002
30,20,0.1493791362,2.189822527
31,17,0.2856572393,1.6639703944
32,28,0.0877256146,2.6910713824
33,31,0.1264072745,2.5359107331
34,17,0.3856305096,1.5691719776
35,17,0.1492342985,2.1342791592
36,25,0.1059191366,2.5208556158
37,32,0.0745311172,2.8074778392
38,25,0.0890514388,2.6137552969
39,21,0.1322350757,2.2517603036
40,59,0.050629235,3.3170531645
41,15,0.2525164852,1.7057950887
42,22,0.1420463304,2.3345295764
43,30,0.1893870683,2.1167205695
44,29,0.1321821739,2.262640726
45,31,0.0765775652,2.8694966026
46,26,0.1540959184,2.3267653662
47,22,0.157784471,2.1390498842
48,38,0.1429852527,2.3999957132
49,32,0.11707631,2.5615615198
50,40,0.1053115563,2.5901215976
51,38,0.0768932474,2.8304692288
52,28,0.1346899534,2.3590383219
53,29,0.1131340242,2.4533285821
54,25,0.1370808887,2.3138344496
55,25,0.1576421176,2.1626199341
56,18,0.1238267045,2.3954452108
57,11,0.1858737819,1.8547830942
58,19,0.1053240741,2.4832858823
59,22,0.125,2.4104980636
60,19,0.1471672083,2.2008845743
61,17,0.1540006275,2.1716872106
62,23,0.240209564,1.9057437336
63,21,0.1052822946,2.4467831815
64,15,0.1525864932,2.0194687497
65,34,0.0821482713,2.73281939
66,24,0.184054045,2.1118174015
67,31,0.1791009952,2.0886746866
68,24,0.3704859077,1.5371270554
69,14,0.1868464556,1.8555688957
70,32,0.1523212068,2.4102091706
71,26,0.1471677881,2.2102883097
72,19,0.1251949098,2.3180656416
73,33,0.07177551,2.85208957
74,19,0.1551833417,2.1475316495
75,19,0.129301322,2.2927421613
76,29,0.192565228,2.1734396885
77,26,0.1781746688,2.1726543873
78,35,0.1212056142,2.5462261762
79,47,0.120577019,2.6226909244
80,22,0.1189523804,2.3476536887
81,26,0.1440550879,2.3264811684
82,25,0.244764726,1.957416168
83,30,0.0718365572,2.8876533978
84,27,0.1411649249,2.3344721708
85,13,0.1250023777,2.2125124343
86,24,0.1485077851,2.3470964732
87,38,0.135013151,2.5245484987
88,27,0.089578726,2.6746927754
89,26,0.1242796808,2.538829195
90,20,0.1397817722,2.2971212808
91,19,0.1114724245,2.4274775989
92,8,0.2799602313,1.4973446563
93,27,0.1281589987,2.4823183467
94,21,0.1589846045,2.1777638231
95,35,0.1024492711,2.6523999376
96,19,0.0826913773,2.635438605
97,18,0.1082182774,2.3981916012
98,27,0.0789600702,2.7570718895
99,13,0.1960252378,1.8463930703
100,21,0.0994285714,2.5739485774
101,19,0.1769874501,2.0330997048
102,28,0.1151878106,2.5797277234
103,25,0.1243337174,2.2406836937
104,47,0.1966277675,2.108753683
105,23,0.1020899143,2.5123327267
106,16,0.1761365343,1.9231044062
107,19,0.1270962366,2.2911259871
108,21,0.146472781,2.2068419897
109,30,0.2313500035,1.8160556365
110,32,0.0732057099,2.8356135212
111,27,0.1875840047,2.0924610138
112,25,0.130083497,2.4811125544
113,24,0.0891246118,2.6105985058
114,39,0.0805606549,2.8449033916
115,21,0.1993807493,1.9440621554
116,12,0.1955850775,1.8396719946
117,23,0.2648259634,1.8137732866
118,52,0.0915259382,2.8359121679
119,44,0.0946029074,2.8892734681
120,34,0.0643487074,2.964743535
121,23,0.1389967872,2.3101132295
122,23,0.0902576457,2.6425015974
123,28,0.1223108554,2.515198782
124,22,0.1348120269,2.2508781083
125,27,0.0818142789,2.7495438935
126,28,0.1517766227,2.4865573858
127,34,0.0959847618,2.7323280583
128,31,0.0890597293,2.7710260563
129,24,0.1113197939,2.5187027239
130,31,0.1312385269,2.5720259357
131,33,0.1480861743,2.6443933786
132,17,0.1630182317,2.1613041348
133,24,0.0781633812,2.7526148928
134,32,0.1152076535,2.4977093052
135,28,0.1025179283,2.5273489559
136,54,0.0533389705,3.3889616825
137,36,0.0896512588,2.7530612185
138,31,0.0918009763,2.7256943589
139,27,0.1574697774,2.5504800937
140,27,0.1543799891,2.3873495285
141,32,0.1456007441,2.2874142893
142,63,0.080516152,2.999059843
143,92,0.0490482909,3.5119649393
144,8,0.3751239834,1.2252202343
145,23,0.2999202686,1.7736442771
146,23,0.2591096243,1.7490615072
147,30,0.176681955,2.3153222335
148,30,0.1241535891,2.4733342449
149,27,0.1650830176,2.3680938787
150,33,0.1542296647,2.3165572958
151,17,0.1786666666,2.1295564337
152,17,0.1319729341,2.2509340638
153,26,0.153874855,2.354825109
154,21,0.1851409398,2.094761762
155,23,0.121830632,2.4699571106
156,21,0.0900052146,2.6099304211
157,28,0.086916889,2.6628056651
158,14,0.1855671801,1.9634080806
159,22,0.1811604705,2.1703749655
160,8,0.3790401012,1.3167584651
161,9,0.4629640558,1.0871238054
162,4,0.8924160595,0.2626159322
163,20,0.1559068592,2.1724708713
164,22,0.1415116294,2.3481928036
165,3,0.9418021543,0.1424148633
166,13,0.5890539656,0.9418015779
167,15,0.3770061385,1.3432775344
168,18,0.1333855784,2.271747939
169,19,0.1911632734,2.0296567915
170,24,0.1452506928,2.3757011769
171,14,0.1738658327,1.929151368
172,28,0.1876470444,2.2836592725
173,26,0.2638514581,1.7297784905
174,15,0.2822248676,1.5921080602
175,21,0.224318705,2.0495734844
176,19,0.1682480916,2.2305606156
177,20,0.2940924498,1.6119898211
178,17,0.246889255,1.6703295936
179,29,0.162046319,2.2082086428
180,27,0.1191245715,2.5200394176
181,19,0.2490043048,1.745710877
182,19,0.2263313632,1.9523585213
183,19,0.2596449704,1.7678817213
184,23,0.07364706,2.7655095833
185,21,0.0974080084,2.5748261631
186,16,0.5377460653,1.1279951452
187,24,0.1035914026,2.6003846622
188,24,0.0991965879,2.5992227914
189,29,0.1174998331,2.4972618459
190,21,0.1980526849,1.9525622719
191,24,0.106615227,2.5096774152
192,17,0.3113093104,1.5456121285
